ub_dot,vb_dot,wb_dot,pb_dot,qb_dot,rb_dot,latitude_dot,longitude_dot,altitude_dot,phi_dot,theta_dot,psi_dot
3.17762806898488e-12,2.61810972207455e-14,1.92720145397729e-12,-1.99603271859319e-13,-8.46278999896477e-13,-2.2761475928378e-14,-8.24562868135378e-06,1.75225581900338e-12,-8.21071405839283,9.61710572198711e-06,-9.61710572198711e-06,-9.61710572198711e-06
2.74301726229685e-06,1.55414523378091e-06,-3.86987329176677e-05,-2.66408058626354e-09,2.00380664852925e-07,-1.99221641344579e-09,-8.24562867898952e-06,2.27792408760972e-12,-8.21072224868012,9.61709719235215e-06,-9.61663340262893e-06,-9.61711242937344e-06
5.42472275172934e-06,3.1035052999763e-06,-7.6589307244065e-05,2.7727594607966e-10,4.70572484811264e-07,-9.40042446307176e-10,-8.24562867727603e-06,2.80312264400776e-12,-8.21073024658618,9.61708955792037e-06,-9.61498332850088e-06,-9.61712144035263e-06
8.04327760713397e-06,4.64576764770577e-06,-0.00011362872992806,8.34010192139252e-09,8.0740724247341e-07,3.07265622750715e-09,-8.2456286762011e-06,3.32785304806224e-12,-8.21073805509758,9.61710962828304e-06,-9.61181436276261e-06,-9.61711773856772e-06
1.05969692648799e-05,6.17868385238262e-06,-0.000149777291453575,2.10580395968761e-08,1.20770813696032e-06,9.96052848878391e-09,-8.24562867575271e-06,3.85211684926736e-12,-8.21074567712054,9.61718183767634e-06,-9.60680123171342e-06,-9.6170867307999e-06
1.30842130986155e-05,7.70007099211347e-06,-0.000184998516527331,3.79821624371562e-08,1.66829546392376e-06,1.96368565598058e-08,-8.2456286759191e-06,4.37591557521323e-12,-8.21075311547824,9.61732833209057e-06,-9.59963455554521e-06,-9.61701425414681e-06
1.55035506461415e-05,9.20781288027157e-06,-0.000219259112404095,5.86810072940515e-08,2.18599288881718e-06,3.20136931075369e-08,-8.2456286766887e-06,4.89925071987687e-12,-8.21076037290848,9.61756905654025e-06,-9.59002084703968e-06,-9.61688658252783e-06
1.78536476908034e-05,1.0699861205214e-05,-0.000252528912874677,8.27405546191382e-08,2.75763349109891e-06,4.700199279622e-08,-8.2456286780502e-06,5.42212375958696e-12,-8.21076745206163,9.61792184230947e-06,-9.57768247954155e-06,-9.61669043250048e-06
2.0133292168534e-05,1.21742365656612e-05,-0.000284780818353914,1.09764191221545e-07,3.3800655421272e-06,6.45117443616253e-08,-8.24562867999251e-06,5.94453614106093e-12,-8.21077435549879,9.6184024941112e-06,-9.56235762532067e-06,-9.61641296842531e-06
2.23413919168972e-05,1.36290293921372e-05,-0.000315990732292567,1.39372656319508e-07,4.05015804912209e-06,8.44521011135663e-08,-8.24562868250474e-06,6.4664892739973e-12,-8.21078108569014,9.61902487699986e-06,-9.54380016564533e-06,-9.61604180696312e-06
2.44769722599521e-05,1.50624007883597e-05,-0.00034613749425545,1.71203954199697e-07,4.76480604886639e-06,1.06731507584629e-07,-8.24562868557626e-06,6.98798453288917e-12,-8.21078764501361,9.61980100290753e-06,-9.52177957377198e-06,-9.61556502094997e-06
2.65391734943104e-05,1.64725832505132e-05,-0.000375202809577273,2.04913245466115e-07,5.52093563490281e-06,1.31257821914304e-07,-8.24562868919661e-06,7.50902325881612e-12,-8.21079403575376,9.6207411167139e-06,-9.49608077212929e-06,-9.61497114262301e-06
2.85272482051887e-05,1.78578813054922e-05,-0.000403171176369014,2.40172710303509e-07,6.31550875860257e-06,1.57938439225643e-07,-8.2456286933556e-06,8.02960675197157e-12,-8.21080026010087,9.62185378170201e-06,-9.46650396491911e-06,-9.614249166251e-06
3.04405584903874e-05,1.92166720463739e-05,-0.000430029809957238,2.76671407376444e-07,7.14552774916256e-06,1.86680410642501e-07,-8.2456286980432e-06,8.54973627349679e-12,-8.21080632015024,9.62314596431926e-06,-9.43286444741632e-06,-9.61338855015493e-06
3.22785730778916e-05,2.05474055716816e-05,-0.00045576856451068,3.14115085477601e-07,8.00803962075136e-06,2.17390557620815e-07,-8.24562870324963e-06,9.06941304737584e-12,-8.21081221790172,9.62462311808911e-06,-9.39499239322951e-06,-9.61237921813755e-06
3.4040864334296e-05,2.18486053360542e-05,-0.000480379852867419,3.52225997851323e-07,8.90014008481385e-06,2.49975586699698e-07,-8.24562870896528e-06,9.58863824387625e-12,-8.21081795525945,9.6262892666142e-06,-9.35273262071635e-06,-9.61121156034468e-06
